95.20.35.137	tcp,192.168.1.2,21,36
192.168.1.2	tcp,93.42.148.125,0,0
78.101.207.30	tcp,192.168.1.2,30,31
78.101.207.30	tcp,192.168.1.2,0,0
85.54.151.92	tcp,192.168.1.2,35,27
83.39.138.168	tcp,192.168.1.2,29,35
83.39.138.168	tcp,192.168.1.2,0,0
124.160.132.82	tcp,192.168.1.2,19,40
192.168.1.2	tcp,124.160.132.82,0,0
218.84.107.148	tcp,192.168.1.2,23,33
218.84.107.148	tcp,192.168.1.2,0,0
81.37.146.58	tcp,192.168.1.2,22,21
81.37.146.58	tcp,192.168.1.2,0,0
95.232.187.195	tcp,192.168.1.2,24,49
192.168.1.2	tcp,95.232.187.195,0,0
41.214.12.42	tcp,192.168.1.2,26,42
192.168.1.2	tcp,41.214.12.42,0,0
192.168.1.2	tcp,95.232.187.195,0,0
151.76.235.163	tcp,192.168.1.2,26,35
192.168.1.2	tcp,151.76.235.163,0,0
192.168.1.2	tcp,95.232.187.195,0,0
87.19.76.190	tcp,192.168.1.2,33,31
95.246.5.122	tcp,192.168.1.2,24,32
79.22.104.208	tcp,192.168.1.2,10,12
87.19.76.190	tcp,192.168.1.2,0,0
95.246.5.122	tcp,192.168.1.2,0,0
193.153.250.239	tcp,192.168.1.2,25,44
192.168.1.2	tcp,193.153.250.239,0,0
118.233.143.79	tcp,192.168.1.2,18,31
192.168.1.2	tcp,118.233.143.79,0,0
79.22.104.208	tcp,192.168.1.2,42,0
95.232.187.195	tcp,192.168.1.2,0,0
192.168.1.2	tcp,187.127.205.11,83,0
192.168.1.2	tcp,187.127.205.11,0,0
82.35.235.202	tcp,192.168.1.2,25,44
192.168.1.2	tcp,82.35.235.202,0,0
175.144.114.44	tcp,192.168.1.2,0,0
175.144.114.44	tcp,192.168.1.2,42,0
83.40.220.197	tcp,192.168.1.2,21,31
83.40.220.197	tcp,192.168.1.2,0,0
95.232.187.195	tcp,192.168.1.2,0,0
92.147.181.113	tcp,192.168.1.2,20,38
192.168.1.2	tcp,92.147.181.113,0,0
82.235.186.245	tcp,192.168.1.2,22,29
192.168.1.2	tcp,82.235.186.245,0,0
93.42.28.219	tcp,192.168.1.2,34,42
84.123.193.52	tcp,192.168.1.2,29,35
84.123.193.52	tcp,192.168.1.2,0,0
81.248.43.238	tcp,192.168.1.2,36,49
192.168.1.2	tcp,81.248.43.238,0,0
86.72.97.204	tcp,192.168.1.2,25,27
192.168.1.2	tcp,86.72.97.204,0,0
188.191.222.6	tcp,192.168.1.2,25,26
188.191.222.6	tcp,192.168.1.2,0,0
125.119.174.86	tcp,192.168.1.2,48,44
192.168.1.2	tcp,86.72.97.204,0,0
218.186.226.49	tcp,192.168.1.2,40,55
192.168.1.2	tcp,218.186.226.49,0,0
151.33.221.117	tcp,192.168.1.2,30,52
192.168.1.2	tcp,151.33.221.117,0,0
151.49.108.247	tcp,192.168.1.2,16,32
192.168.1.2	tcp,151.49.108.247,0,0
187.95.182.131	tcp,192.168.1.2,17,42
192.168.1.2	tcp,187.95.182.131,0,0
84.103.168.41	tcp,192.168.1.2,39,28
95.232.187.195	tcp,192.168.1.2,0,0
84.103.168.41	tcp,192.168.1.2,0,0
60.247.70.35	tcp,192.168.1.2,26,32
60.247.70.35	tcp,192.168.1.2,0,0
84.61.168.74	tcp,192.168.1.2,22,29
151.32.33.7	tcp,192.168.1.2,29,43
84.61.168.74	tcp,192.168.1.2,0,0
192.168.1.2	tcp,84.103.168.41,0,0
83.42.83.112	tcp,192.168.1.2,0,83
83.42.83.112	tcp,192.168.1.2,0,0
79.41.9.122	tcp,192.168.1.2,33,28
222.220.97.40	tcp,192.168.1.2,27,28
91.117.86.63	tcp,192.168.1.2,29,35
91.117.86.63	tcp,192.168.1.2,0,0
222.220.97.40	tcp,192.168.1.2,0,0
189.107.59.235	tcp,192.168.1.2,17,42
192.168.1.2	tcp,189.107.59.235,0,0
183.216.39.56	tcp,192.168.1.2,42,54
116.228.248.250	tcp,192.168.1.2,23,35
125.119.174.86	tcp,192.168.1.2,0,84
125.119.174.86	tcp,192.168.1.2,15,0
88.182.140.14	tcp,192.168.1.2,18,32
88.182.140.14	tcp,192.168.1.2,0,0
84.125.129.158	tcp,192.168.1.2,22,36
192.168.1.2	tcp,84.125.129.158,0,0
87.20.147.90	tcp,192.168.1.2,36,48
192.168.1.2	tcp,87.20.147.90,0,0
86.220.0.36	tcp,192.168.1.2,29,22
93.67.74.230	tcp,192.168.1.2,28,26
83.44.22.177	tcp,192.168.1.2,22,32
93.67.74.230	tcp,192.168.1.2,0,0
83.44.22.177	tcp,192.168.1.2,0,0
86.220.0.36	tcp,192.168.1.2,0,0
124.160.123.79	tcp,192.168.1.2,19,47
192.168.1.2	tcp,124.160.123.79,0,0
124.12.27.78	tcp,192.168.1.2,31,39
192.168.1.2	tcp,124.12.27.78,0,0
189.89.172.225	tcp,192.168.1.2,22,42
192.168.1.2	tcp,189.89.172.225,0,0
192.168.1.2	tcp,183.216.39.56,0,0
192.168.1.2	tcp,183.216.39.56,0,0
189.115.215.58	tcp,192.168.1.2,26,53
192.168.1.2	tcp,189.115.215.58,0,0
82.239.206.51	tcp,192.168.1.2,32,45
192.168.1.2	tcp,82.239.206.51,0,0
115.151.182.189	tcp,192.168.1.2,23,40
192.168.1.2	tcp,115.151.182.189,0,0
77.39.132.204	tcp,192.168.1.2,19,63
111.232.55.198	tcp,192.168.1.2,22,44
192.168.1.2	tcp,111.232.55.198,0,0
192.168.1.2	tcp,77.39.132.204,0,0
92.129.108.20	tcp,192.168.1.2,22,39
92.129.108.20	tcp,192.168.1.2,0,0
192.168.1.2	tcp,115.151.182.189,0,0
80.183.33.197	tcp,192.168.1.2,37,44
80.183.33.197	tcp,192.168.1.2,0,0
221.201.74.24	tcp,192.168.1.2,21,21
93.44.24.126	tcp,192.168.1.2,32,52
192.168.1.2	tcp,93.44.24.126,0,0
82.49.9.244	tcp,192.168.1.2,22,42
192.168.1.2	tcp,82.49.9.244,0,0
187.57.58.206	tcp,192.168.1.2,28,27
192.168.1.2	tcp,221.201.74.24,0,0
201.29.169.53	tcp,192.168.1.2,30,47
192.168.1.2	tcp,201.29.169.53,0,0
212.183.163.230	tcp,192.168.1.2,22,48
192.168.1.2	tcp,212.183.163.230,0,0
192.168.1.2	tcp,115.151.182.189,0,0
83.18.247.114	tcp,192.168.1.2,24,33
94.164.14.194	tcp,192.168.1.2,24,37
83.18.247.114	tcp,192.168.1.2,0,0
201.27.169.199	tcp,192.168.1.2,22,35
80.30.155.66	tcp,192.168.1.2,26,35
192.168.1.2	tcp,80.30.155.66,0,0
113.31.43.2	tcp,192.168.1.2,28,34
213.9.186.15	tcp,192.168.1.2,22,35
213.9.186.15	tcp,192.168.1.2,0,0
113.31.43.2	tcp,192.168.1.2,0,0
87.219.57.250	tcp,192.168.1.2,22,42
192.168.1.2	tcp,87.219.57.250,0,0
196.201.74.4	tcp,192.168.1.2,37,51
192.168.1.2	tcp,196.201.74.4,0,0
192.168.1.2	tcp,85.48.37.190,70,0
114.100.207.109	tcp,192.168.1.2,20,39
192.168.1.2	tcp,114.100.207.109,0,0
222.210.72.170	tcp,192.168.1.2,19,47
192.168.1.2	tcp,222.210.72.170,0,0
92.98.82.254	tcp,192.168.1.2,23,33
88.124.136.99	tcp,192.168.1.2,26,29
88.124.136.99	tcp,192.168.1.2,0,0
92.98.82.254	tcp,192.168.1.2,0,0
93.43.117.73	tcp,192.168.1.2,22,33
192.168.1.2	tcp,93.43.117.73,0,0
79.24.103.61	tcp,192.168.1.2,34,40
79.24.103.61	tcp,192.168.1.2,0,0
192.168.1.2	tcp,221.201.74.24,0,0
88.184.29.54	tcp,192.168.1.2,27,48
192.168.1.2	tcp,88.184.29.54,0,0
192.168.1.2	tcp,115.151.182.189,0,0
93.104.155.40	tcp,192.168.1.2,25,29
192.168.1.2	tcp,93.104.155.40,0,0
151.95.163.19	tcp,192.168.1.2,29,35
151.95.163.19	tcp,192.168.1.2,0,0
85.48.37.190	tcp,192.168.1.2,23,24
192.168.1.2	tcp,85.48.37.190,0,0
60.208.24.58	tcp,192.168.1.2,22,39
60.208.24.58	tcp,192.168.1.2,0,0
201.79.185.126	tcp,192.168.1.2,22,42
192.168.1.2	tcp,201.79.185.126,0,0
218.84.107.148	tcp,192.168.1.2,21,32
218.84.107.148	tcp,192.168.1.2,0,0
187.52.121.213	tcp,192.168.1.2,26,33
187.52.121.213	tcp,192.168.1.2,0,0
81.39.158.50	tcp,192.168.1.2,23,50
192.168.1.2	tcp,81.39.158.50,0,0
89.75.57.226	tcp,192.168.1.2,29,29
89.75.57.226	tcp,192.168.1.2,0,0
93.144.92.17	tcp,192.168.1.2,32,26
192.168.1.2	tcp,93.144.92.17,0,0
190.24.24.24	tcp,192.168.1.2,26,29
190.24.24.24	tcp,192.168.1.2,0,0
192.168.1.2	tcp,221.201.74.24,0,0
41.201.221.230	tcp,192.168.1.2,37,51
192.168.1.2	tcp,41.201.221.230,0,0
93.173.144.25	tcp,192.168.1.2,24,39
192.168.1.2	tcp,93.173.144.25,0,0
186.221.90.143	tcp,192.168.1.2,37,43
186.221.90.143	tcp,192.168.1.2,0,0
95.239.131.64	tcp,192.168.1.2,25,25
79.23.175.59	tcp,192.168.1.2,29,35
79.23.175.59	tcp,192.168.1.2,0,0
95.239.131.64	tcp,192.168.1.2,0,0
109.212.56.211	tcp,192.168.1.2,29,35
93.66.229.234	tcp,192.168.1.2,36,37
93.66.229.234	tcp,192.168.1.2,0,0
112.20.95.213	tcp,192.168.1.2,20,39
192.168.1.2	tcp,112.20.95.213,0,0
79.50.15.78	tcp,192.168.1.2,22,33
192.168.1.2	tcp,79.50.15.78,0,0
95.234.223.2	tcp,192.168.1.2,29,35
95.234.223.2	tcp,192.168.1.2,0,0
217.132.239.237	tcp,192.168.1.2,37,40
87.13.193.1	tcp,192.168.1.2,38,39
192.168.1.2	tcp,87.13.193.1,0,0
83.205.187.173	tcp,192.168.1.2,27,37
192.168.1.2	tcp,83.205.187.173,0,0
93.46.121.197	tcp,192.168.1.2,30,50
187.54.221.99	tcp,192.168.1.2,37,37
93.46.121.197	tcp,192.168.1.2,0,0
187.54.221.99	tcp,192.168.1.2,0,0
87.5.69.232	tcp,192.168.1.2,29,50
192.168.1.2	tcp,87.5.69.232,0,0
89.42.231.115	tcp,192.168.1.2,29,30
90.18.49.6	tcp,192.168.1.2,34,25
90.18.49.6	tcp,192.168.1.2,0,0
201.13.217.138	tcp,192.168.1.2,28,20
192.168.1.2	tcp,201.13.217.138,0,0
222.220.97.40	tcp,192.168.1.2,34,42
187.127.205.11	tcp,192.168.1.2,34,37
187.127.205.11	tcp,192.168.1.2,0,0
217.132.239.237	tcp,192.168.1.2,0,0
222.220.97.40	tcp,192.168.1.2,40,0
114.34.212.93	tcp,192.168.1.2,32,42
192.168.1.2	tcp,114.34.212.93,0,0
114.34.212.93	tcp,192.168.1.2,0,0
187.109.195.213	tcp,192.168.1.2,22,27
188.153.65.89	tcp,192.168.1.2,30,30
41.232.60.156	tcp,192.168.1.2,22,52
192.168.1.2	tcp,41.232.60.156,0,0
187.35.43.14	tcp,192.168.1.2,34,36
192.168.1.2	tcp,187.35.43.14,0,0
117.201.0.53	tcp,192.168.1.2,28,34
189.24.221.194	tcp,192.168.1.2,29,29
187.109.195.213	tcp,192.168.1.2,0,0
117.201.0.53	tcp,192.168.1.2,0,0
189.24.221.194	tcp,192.168.1.2,0,0
187.59.52.84	tcp,192.168.1.2,24,44
192.168.1.2	tcp,187.59.52.84,0,0
151.40.222.110	tcp,192.168.1.2,22,37
151.40.222.110	tcp,192.168.1.2,0,0
85.85.99.61	tcp,192.168.1.2,24,54
192.168.1.2	tcp,85.85.99.61,0,0
82.158.188.28	tcp,192.168.1.2,22,35
192.168.1.2	tcp,82.158.188.28,0,0
91.51.87.252	tcp,192.168.1.2,34,36
82.61.67.95	tcp,192.168.1.2,25,26
76.196.233.141	tcp,192.168.1.2,32,35
79.55.46.236	tcp,192.168.1.2,26,36
76.196.233.141	tcp,192.168.1.2,0,0
91.51.87.252	tcp,192.168.1.2,0,0
79.55.46.236	tcp,192.168.1.2,0,0
82.61.67.95	tcp,192.168.1.2,0,0
62.98.173.49	tcp,192.168.1.2,22,33
192.168.1.2	tcp,62.98.173.49,0,0
221.180.12.86	tcp,192.168.1.2,22,34
221.180.12.86	tcp,192.168.1.2,0,0
14.210.74.44	tcp,192.168.1.2,26,30
14.210.74.44	tcp,192.168.1.2,0,0
81.244.159.178	tcp,192.168.1.2,29,35
81.244.159.178	tcp,192.168.1.2,0,0
93.149.55.198	tcp,192.168.1.2,22,30
192.168.1.2	tcp,93.149.55.198,0,0
79.3.49.41	tcp,192.168.1.2,27,34
60.247.70.35	tcp,192.168.1.2,22,35
79.84.226.14	tcp,192.168.1.2,29,25
79.84.226.14	tcp,192.168.1.2,0,0
60.247.70.35	tcp,192.168.1.2,0,0
79.3.49.41	tcp,192.168.1.2,0,0
177.8.64.6	tcp,192.168.1.2,0,0
151.19.148.114	tcp,192.168.1.2,26,33
151.19.148.114	tcp,192.168.1.2,0,0
200.140.58.224	tcp,192.168.1.2,20,42
192.168.1.2	tcp,200.140.58.224,0,0
122.72.17.242	tcp,192.168.1.2,6,0
183.216.39.56	tcp,192.168.1.2,21,28
183.216.39.56	tcp,192.168.1.2,0,0
177.8.64.6	tcp,192.168.1.2,36,0
83.46.244.204	tcp,192.168.1.2,20,33
192.168.1.2	tcp,83.46.244.204,0,0
151.56.74.163	tcp,192.168.1.2,40,42
151.83.38.166	tcp,192.168.1.2,26,35
151.56.74.163	tcp,192.168.1.2,0,0
151.83.38.166	tcp,192.168.1.2,0,0
180.183.76.73	tcp,192.168.1.2,23,31
192.168.1.2	tcp,180.183.76.73,0,0
83.54.84.163	tcp,192.168.1.2,23,25
192.168.1.2	tcp,83.54.84.163,0,0
79.53.53.150	tcp,192.168.1.2,27,34
187.14.23.191	tcp,192.168.1.2,22,35
79.53.53.150	tcp,192.168.1.2,0,0
187.14.23.191	tcp,192.168.1.2,0,0
2.36.30.97	tcp,192.168.1.2,25,44
192.168.1.2	tcp,2.36.30.97,0,0
24.63.148.141	tcp,192.168.1.2,25,45
192.168.1.2	tcp,24.63.148.141,0,0
93.39.101.116	tcp,192.168.1.2,21,30
93.39.101.116	tcp,192.168.1.2,0,0
124.239.208.52	tcp,192.168.1.2,21,33
124.239.208.52	tcp,192.168.1.2,0,0
222.220.97.40	tcp,192.168.1.2,21,42
222.220.97.40	tcp,192.168.1.2,0,0
192.168.1.2	tcp,90.10.161.27,83,0
192.168.1.2	tcp,90.10.161.27,0,0
95.42.181.13	tcp,192.168.1.2,24,31
95.42.181.13	tcp,192.168.1.2,0,0
85.58.180.109	tcp,192.168.1.2,29,35
85.58.180.109	tcp,192.168.1.2,0,0
187.9.30.111	tcp,192.168.1.2,22,43
192.168.1.2	tcp,187.9.30.111,0,0
88.205.189.227	tcp,192.168.1.2,24,37
88.205.189.227	tcp,192.168.1.2,0,0
41.105.121.187	tcp,192.168.1.2,22,35
192.168.1.2	tcp,41.105.121.187,0,0
88.9.135.55	tcp,192.168.1.2,29,35
88.9.135.55	tcp,192.168.1.2,0,0
177.8.64.6	tcp,192.168.1.2,0,0
82.136.192.225	tcp,192.168.1.2,26,31
192.168.1.2	tcp,82.136.192.225,0,0
201.22.52.58	tcp,192.168.1.2,28,36
79.94.183.40	tcp,192.168.1.2,25,17
77.224.43.82	tcp,192.168.1.2,26,24
79.94.183.40	tcp,192.168.1.2,0,0
177.8.64.6	tcp,192.168.1.2,30,0
212.25.116.149	tcp,192.168.1.2,13,40
192.168.1.2	tcp,212.25.116.149,0,0
77.224.43.82	tcp,192.168.1.2,0,0
79.21.219.76	tcp,192.168.1.2,24,29
192.168.1.2	tcp,79.21.219.76,0,0
192.168.1.2	tcp,201.22.52.58,0,0
85.218.25.164	tcp,192.168.1.2,29,35
85.218.25.164	tcp,192.168.1.2,0,0
187.79.210.32	tcp,192.168.1.2,35,28
187.79.210.32	tcp,192.168.1.2,0,0
79.30.155.171	tcp,192.168.1.2,32,51
192.168.1.2	tcp,79.30.155.171,0,0
88.25.225.183	tcp,192.168.1.2,29,27
190.231.13.221	tcp,192.168.1.2,26,35
190.231.13.221	tcp,192.168.1.2,0,0
88.25.225.183	tcp,192.168.1.2,0,0
79.50.9.21	tcp,192.168.1.2,25,43
192.168.1.2	tcp,79.50.9.21,0,0
201.8.136.116	tcp,192.168.1.2,36,30
192.168.1.2	tcp,201.8.136.116,0,0
177.8.64.6	tcp,192.168.1.2,0,0
177.8.64.6	tcp,192.168.1.2,22,0
221.227.96.62	tcp,192.168.1.2,27,34
221.227.96.62	tcp,192.168.1.2,0,0
71.239.73.212	tcp,192.168.1.2,26,35
192.168.1.2	tcp,71.239.73.212,0,0
121.30.185.153	tcp,192.168.1.2,25,32
200.140.72.61	tcp,192.168.1.2,27,29
79.158.54.50	tcp,192.168.1.2,29,29
93.151.250.41	tcp,192.168.1.2,26,35
93.151.250.41	tcp,192.168.1.2,0,0
79.158.54.50	tcp,192.168.1.2,0,0
84.228.217.192	tcp,192.168.1.2,25,39
192.168.1.2	tcp,84.228.217.192,0,0
192.168.1.2	tcp,121.30.185.153,0,0
192.168.1.2	tcp,84.228.217.192,0,0
222.220.97.40	tcp,192.168.1.2,21,28
222.220.97.40	tcp,192.168.1.2,0,0
80.181.179.149	tcp,192.168.1.2,24,39
192.168.1.2	tcp,80.181.179.149,0,0
95.18.152.168	tcp,192.168.1.2,28,52
192.168.1.2	tcp,95.18.152.168,0,0
222.55.51.252	tcp,192.168.1.2,27,39
222.55.51.252	tcp,192.168.1.2,0,0
95.123.108.255	tcp,192.168.1.2,26,43
93.48.40.216	tcp,192.168.1.2,26,33
95.123.108.255	tcp,192.168.1.2,0,0
93.48.40.216	tcp,192.168.1.2,0,0
82.226.247.10	tcp,192.168.1.2,36,35
192.168.1.2	tcp,82.226.247.10,0,0
78.60.13.248	tcp,192.168.1.2,37,43
189.47.2.31	tcp,192.168.1.2,25,33
78.60.13.248	tcp,192.168.1.2,0,0
189.47.2.31	tcp,192.168.1.2,0,0
192.168.1.2	tcp,121.30.185.153,0,0
192.168.1.2	tcp,84.228.217.192,0,0
78.250.125.206	tcp,192.168.1.2,30,31
192.168.1.2	tcp,78.250.125.206,0,0
187.89.158.38	tcp,192.168.1.2,25,24
114.34.208.246	tcp,192.168.1.2,28,31
192.168.1.2	tcp,114.34.208.246,0,0
115.140.183.26	tcp,192.168.1.2,22,33
115.140.183.26	tcp,192.168.1.2,0,0
77.215.87.235	tcp,192.168.1.2,25,35
192.168.1.2	tcp,77.215.87.235,0,0
79.47.188.82	tcp,192.168.1.2,25,35
192.168.1.2	tcp,79.47.188.82,0,0
192.168.1.2	tcp,121.30.185.153,0,0
151.49.235.80	tcp,192.168.1.2,29,35
192.168.1.2	tcp,84.228.217.192,0,0
186.22.60.110	tcp,192.168.1.2,24,47
80.116.20.68	tcp,192.168.1.2,25,27
80.116.20.68	tcp,192.168.1.2,0,0
93.48.146.149	tcp,192.168.1.2,21,30
192.168.1.2	tcp,93.48.146.149,0,0
212.21.252.53	tcp,192.168.1.2,20,44
192.168.1.2	tcp,212.21.252.53,0,0
83.32.177.173	tcp,192.168.1.2,25,25
83.32.177.173	tcp,192.168.1.2,0,0
77.246.75.6	tcp,192.168.1.2,29,40
77.246.75.6	tcp,192.168.1.2,0,0
79.6.249.205	tcp,192.168.1.2,25,25
79.6.249.205	tcp,192.168.1.2,0,0
151.47.85.173	tcp,192.168.1.2,33,31
151.47.85.173	tcp,192.168.1.2,0,0
80.174.149.77	tcp,192.168.1.2,26,35
60.247.70.35	tcp,192.168.1.2,21,28
93.39.245.2	tcp,192.168.1.2,33,43
93.39.245.2	tcp,192.168.1.2,0,0
60.247.70.35	tcp,192.168.1.2,0,0
80.174.149.77	tcp,192.168.1.2,0,0
95.20.10.221	tcp,192.168.1.2,21,36
192.168.1.2	tcp,95.20.10.221,0,0
109.182.2.182	tcp,192.168.1.2,24,27
109.182.2.182	tcp,192.168.1.2,0,0
76.252.224.223	tcp,192.168.1.2,27,40
192.168.1.2	tcp,76.252.224.223,0,0
92.161.67.188	tcp,192.168.1.2,22,42
192.168.1.2	tcp,92.161.67.188,0,0
80.236.115.116	tcp,192.168.1.2,23,54
192.168.1.2	tcp,80.236.115.116,0,0
79.1.253.80	tcp,192.168.1.2,22,42
192.168.1.2	tcp,79.1.253.80,0,0
114.239.215.205	tcp,192.168.1.2,18,32
178.4.212.190	tcp,192.168.1.2,29,36
178.4.212.190	tcp,192.168.1.2,0,0
192.168.1.2	tcp,114.239.215.205,0,0
46.255.241.47	tcp,192.168.1.2,27,50
192.168.1.2	tcp,46.255.241.47,0,0
222.220.97.40	tcp,192.168.1.2,29,37
183.23.87.102	tcp,192.168.1.2,27,37
183.23.87.102	tcp,192.168.1.2,0,0
222.220.97.40	tcp,192.168.1.2,0,0
192.168.1.2	tcp,79.1.253.80,0,0
151.19.2.191	tcp,192.168.1.2,32,45
192.168.1.2	tcp,151.19.2.191,0,0
86.198.113.137	tcp,192.168.1.2,30,49
192.168.1.2	tcp,86.198.113.137,0,0
95.233.109.113	tcp,192.168.1.2,29,35
188.135.192.238	tcp,192.168.1.2,34,36
188.135.192.238	tcp,192.168.1.2,0,0
95.233.109.113	tcp,192.168.1.2,0,0
183.216.39.56	tcp,192.168.1.2,30,40
89.228.212.105	tcp,192.168.1.2,30,30
89.228.212.105	tcp,192.168.1.2,0,0
183.216.39.56	tcp,192.168.1.2,0,0
93.146.210.25	tcp,192.168.1.2,20,31
192.168.1.2	tcp,93.146.210.25,0,0
120.28.217.12	tcp,192.168.1.2,29,35
120.28.217.12	tcp,192.168.1.2,0,0
83.194.205.128	tcp,192.168.1.2,29,43
192.168.1.2	tcp,83.194.205.128,0,0
69.137.22.148	tcp,192.168.1.2,19,40
192.168.1.2	tcp,69.137.22.148,0,0
112.251.74.232	tcp,192.168.1.2,25,33
112.251.74.232	tcp,192.168.1.2,0,0
67.180.244.109	tcp,192.168.1.2,0,52
218.84.107.149	tcp,192.168.1.2,0,0
151.50.214.143	tcp,192.168.1.2,28,52
192.168.1.2	tcp,151.50.214.143,0,0
58.38.21.67	tcp,192.168.1.2,23,37
93.144.132.7	tcp,192.168.1.2,31,25
93.151.7.103	tcp,192.168.1.2,26,33
93.151.7.103	tcp,192.168.1.2,0,0
93.144.132.7	tcp,192.168.1.2,0,0
93.71.222.186	tcp,192.168.1.2,22,44
192.168.1.2	tcp,93.71.222.186,0,0
79.84.232.247	tcp,192.168.1.2,26,37
192.168.1.2	tcp,79.84.232.247,0,0
93.38.32.189	tcp,192.168.1.2,24,39
88.25.11.98	tcp,192.168.1.2,45,35
2.40.223.152	tcp,192.168.1.2,38,40
88.25.11.98	tcp,192.168.1.2,0,0
2.40.223.152	tcp,192.168.1.2,0,0
113.231.7.109	tcp,192.168.1.2,27,40
192.168.1.2	tcp,113.231.7.109,0,0
175.137.7.78	tcp,192.168.1.2,24,45
192.168.1.2	tcp,175.137.7.78,0,0
83.32.212.72	tcp,192.168.1.2,22,42
192.168.1.2	tcp,83.32.212.72,0,0
93.173.173.98	tcp,192.168.1.2,32,36
192.168.1.2	tcp,113.231.7.109,0,0
93.173.173.98	tcp,192.168.1.2,0,0
93.146.222.186	tcp,192.168.1.2,25,44
192.168.1.2	tcp,93.146.222.186,0,0
188.217.84.39	tcp,192.168.1.2,26,33
189.2.120.142	tcp,192.168.1.2,19,33
189.2.120.142	tcp,192.168.1.2,0,0
188.217.84.39	tcp,192.168.1.2,0,0
187.114.17.82	tcp,192.168.1.2,22,50
192.168.1.2	tcp,187.114.17.82,0,0
78.13.29.18	tcp,192.168.1.2,34,42
200.207.67.194	tcp,192.168.1.2,36,33
200.207.67.194	tcp,192.168.1.2,0,0
76.247.98.225	tcp,192.168.1.2,35,32
76.247.98.225	tcp,192.168.1.2,0,0
77.227.253.126	tcp,192.168.1.2,29,35
218.84.107.149	tcp,192.168.1.2,0,0
87.19.236.231	tcp,192.168.1.2,1,80
113.248.26.122	tcp,192.168.1.2,8,77
113.248.26.122	tcp,192.168.1.2,0,0
80.37.181.214	tcp,192.168.1.2,20,44
192.168.1.2	tcp,80.37.181.214,0,0
189.114.3.52	tcp,192.168.1.2,30,30
189.114.3.52	tcp,192.168.1.2,0,0
218.84.107.149	tcp,192.168.1.2,0,0
79.169.222.20	tcp,192.168.1.2,27,39
2.37.169.185	tcp,192.168.1.2,26,35
189.114.3.52	tcp,192.168.1.2,0,0
79.169.222.20	tcp,192.168.1.2,0,0
2.37.169.185	tcp,192.168.1.2,0,0
87.1.91.46	tcp,192.168.1.2,34,43
87.1.91.46	tcp,192.168.1.2,0,0
24.255.8.39	tcp,192.168.1.2,0,0
